Source,Gmag,BPmag,RPmag,Dist,Teff,Rad,Lum-Flame,Mass-Flame,Age-Flame,x_pos,y_pos
969549701267432704,11.577205,11.759463,11.268619,552.8892,7485.0156,1.5591,7.058797,1.5730000000000002,0.72,505.68252312703504,-223.54340357191404
2935859843342224256,13.85373,14.129072,13.419713,3329.437,7216.418000000001,4.0631,17.468851,1.856,1.135,318.7736188822464,-3314.1415354317196
224696303630463744,11.961717,12.209781,11.557365,841.937,7830.2085,2.2765,15.228198999999998,1.83,0.905,-57.54392156467315,839.9682190773403
2084377182429614080,14.940079999999998,16.433628,13.765553,3726.1816,5158.806,17.5022,192.19638,3.405,0.27,2613.4458297359756,-2655.998910243413
41228975919675520,13.505476000000002,14.011301,12.833861,423.8706,5735.045,1.0214,1.0540622,0.965,7.697,-39.64419866083906,-422.01258637261043
197510122717852928,14.012885999999998,14.431417,13.418503,1504.3102,7610.6133,2.1413,10.129138,1.6869999999999998,0.8909999999999999,608.3310107041898,-1375.8206857144062
4041083193536407424,14.966816,16.431356,13.751057,2156.2102,4829.994000000001,10.7237,56.031147,3.002,0.377,-365.6889207071743,-2124.9738915704497
13248363496186880,13.701566,14.259322,12.985212,402.3538,5844.2896,0.9621,1.3921957,1.008,7.556,126.75749487622421,381.86531377848917
58191107441165184,13.209041,13.825126,12.45522,4201.822,5124.1367,14.6566,72.46415,2.801,0.455,3997.3491744810194,-1294.8002536916313
4040846832955177344,14.990639000000002,16.391918,13.806938,4067.0957,4119.713,22.1175,514.3393599999999,3.705,0.217,-848.761125790712,-3977.5459751340363
402985653127067264,12.178684,12.308765,11.95151,1969.8888,8781.978000000001,3.5605,44.820236,2.336,0.5660000000000001,-1429.1213858203898,1355.755858905374
180455357341653504,12.175286,13.160564,11.200272,2468.7537,4760.984,24.3913,195.69087,3.2060000000000004,0.317,2441.875501821387,-363.3027179477761
4041610065794009984,15.469543,16.997448000000002,14.273651,3112.704,4822.096,13.0221,86.128586,3.002,0.377,1004.1334326070737,-2946.2929659381693
63290882888535168,13.560401999999998,13.958932,12.990541,700.2694,5484.0380000000005,1.4443,1.8501724,0.959,12.776,-550.2462516186149,433.135423575611
38991847715084544,13.446058,13.90825,12.808014,759.8181,6289.235,1.7098,4.383325599999999,1.335,3.0980000000000003,-241.5920223266414,720.3865905440866
136040550776707456,14.640007,15.002605,14.104107,1274.4998,6375.5864,1.3663,3.2956889,1.27,2.701,-406.0913053893163,1208.0726765750649
2027267586421628800,15.931525,19.682146,14.371204,4721.185,3576.0247,110.118,1588.6116,1.798,1.66,2925.439247458454,-3705.5894286408366
139307509061253376,14.601083,15.017366,14.014185,1025.9845,5922.399,1.2557,1.9217077,1.058,7.33,94.31856063485677,-1021.6399577933603
177971388774109056,14.536435999999998,16.124857000000002,13.335829,3765.5203,4523.5776,26.435,313.7387,3.606,0.2319999999999999,536.3897174904565,3727.1207655082226
8115087303325312,11.198671,11.539643,10.686339,261.5138,5526.1245,1.4469999999999998,1.7873028999999998,0.955,12.964,-33.801732222938945,-259.3200927216569
58376306431033472,13.826578,14.533508,13.010604,3763.662,4653.75,12.5018,32.124725,2.7030000000000003,0.502,2818.7788241887133,-2493.920125134182
2169194265305333248,14.810923,15.493023999999998,13.998238,1074.7429,8916.587,1.5286,16.84328,1.961,0.312,-872.4721192955984,627.5864101080081
236968330866711552,14.773191,15.188759,14.186731,876.6212,5773.1533,1.0159,1.2245562,0.981,8.244,-352.4499554701836,802.6479659094052
107782036790280704,13.517043,13.823551,13.017912,637.8705,6008.765,1.0721,1.3808863,1.088,2.749,396.0026577465416,500.06066614754394
1062964965076344064,14.474419,15.563044,13.440067,140.7187,5303.8213,0.5135,0.0663242,0.591,1.866,-95.59103028613771,103.26716544248083
171162766099664128,13.968967,14.479424,13.296865,801.7305,5842.951999999999,1.5532,2.7293737,1.094,7.377000000000001,-233.06505857488347,-767.1065591570288
172912226537889408,13.052969,13.651094,12.307324,563.7567,5564.9893,1.971,2.8779573,1.081,8.416,497.97298326843156,-264.2811471324211
2072316879927888256,10.625699,12.180369,9.433756,2960.306,3820.7935,108.0443,1693.5944,1.92,1.359,-113.52085567948005,2958.1285687004547
188560128133681152,14.908452,15.131982,14.527825,3426.8262,9859.578,2.1159,30.957157,2.282,0.2239999999999999,-879.1923913369898,3312.122966319576
15832559418215936,10.188845,10.622851,9.546914,173.9633,5649.669,1.8245,3.0676854,1.102,7.671,-117.94403188627183,-127.87664012359761
2180559539052865152,14.176163,15.136716,13.201106,153.8351,3679.1077,0.6609999999999999,0.07465993,0.598,9.166,136.22657005649006,-71.46719249175952
217240274763917312,13.328679,13.846032,12.642332,517.352,6052.2666,1.3663,2.3475787999999995,1.146,5.119,-125.91674991340349,501.79484253551806
162925706020776704,13.89984,14.515435,13.146009,296.3516,4982.2207,0.7731,0.3317782999999999,0.8059999999999999,7.678999999999999,263.3792793991615,-135.85148510685647
64981450736616576,15.059891,15.862089,14.173219,2481.442,5447.2725,4.7322,145.21915,3.003,0.376,-2043.6665282635597,-1407.473452900327
64460213504605696,13.529881,13.902706,12.934997,428.2324,5840.8223,0.8622,1.2656895,1.009,6.933,302.62493560652354,-302.98702407678695
513884663654618496,17.495176,18.183113,16.645975,3168.77,9635.247,1.3075,13.414829999999998,,,910.2470320844268,-3035.218880654489
178782141161954816,14.988615,15.700120000000002,14.162912,972.9938,5370.630999999999,1.6986,2.5301466,1.034,10.04,407.0213082066493,883.770665673051
45472914706820864,12.385322,12.947019,11.67867,152.2025,4820.458,0.7439,0.28399855,0.757,13.403,104.81903761647787,-110.35656011042295
162033211816922496,14.432429,15.497479,13.417253,3626.4873,5805.055,12.2236,59.04079,2.695,0.503,-1168.11351149597,-3433.2085519702764
172554747819753984,12.634309,13.359711,11.804488,1920.282,4916.0740000000005,10.6365,55.430447,2.501,0.622,-1304.4402467674013,1409.2262423533705
2039373789245192064,9.716848,9.814699,9.526314,364.4323,9312.134,1.8691,23.14233,2.113,0.303,-79.19809617449796,355.7225925431571
99843562837568512,14.704214000000002,15.215192000000002,14.029336,2042.8846,5506.335,2.9146,10.228716,1.658,2.019,-1289.1001440620523,1584.8022928732644
215135568989221248,10.095058,10.121645,10.022882,622.3309,10215.962,2.2086,44.012226,2.457,0.251,-509.117711842656,357.90348501084526
1077238756308532864,15.208854,16.411720000000003,14.112287,216.1143,3670.701,0.711,0.07948165,0.6,11.639,-129.77655259713592,172.8104078477127
478729806574247040,11.249551,11.554273,10.773249,1295.267,8234.161,5.3672,75.70854,2.582,0.531,216.9656107645995,-1276.966140911553
3044143940325149568,11.238288,11.372707,10.988673,499.9095,7847.331,1.4762,9.767054,1.693,0.688,-280.2041381732255,-413.99897239105553
69775802469431808,13.743045,14.396544,12.963264,2626.2935,4768.2344,8.1955,43.201126,2.802,0.455,-241.569449689491,-2615.1599853773705
169728831139932288,15.252369,16.097166,14.347142000000002,3617.3965,4946.8154,7.0254,25.754433,2.4530000000000003,0.657,-2194.745633591311,2875.5258722613025
431311129946363904,16.976860000000002,17.365076000000002,16.4092,3948.8584,9989.421,1.2613,14.703078,,,-179.98904860284622,3944.7543149901744
549514612822773760,15.075384,16.125989999999998,14.058888,180.7493,3761.1548,0.5439,0.05312143,0.5489999999999999,13.148,-164.9451643077364,73.91483086623309
156789950101265536,13.341613,13.92311,12.601111,562.5059,6044.4136,1.6214,3.0572252,1.141,5.986000000000001,-61.0005381797246,-559.188538756468
71845800611359232,12.472919,12.833162,11.943571,921.5219,6080.835,2.7041,8.1336975,1.501,2.6630000000000003,-676.8097022622092,625.4048601532849
213497880780385920,14.366772,14.908109,13.667210999999998,2001.7144,6215.2207,3.2895,8.605504,1.557,2.246,1387.8719890681848,1442.4534242488667
66860447390865024,13.359369,14.036758,12.57226,1767.1676,4721.5093,6.6716,24.868166,1.355,4.013999999999999,-1617.7444792891008,711.1850154632028
112343360781006080,12.525311,12.911395,11.969248,591.3055,5745.283,1.8481,3.3999228,1.137,6.724,191.16547939852543,-559.5515649308668
176437054657752448,13.217399,14.019059,12.338035,669.1667,4890.395,3.1993,5.5006957000000005,1.093,8.497,54.353371657277535,-666.9556082516855
5864401126867192320,16.338522,17.659782,15.198992,2605.6106,15010.707,2.9998,438.46097,4.404,,-1724.6094920573069,-1953.1842459783966
